epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.7597,1.23285,1.2122,1.21462,0.8426,0.8124,0.87305,0.61119,0.88523,0.69568,1.00298,0.000546086,0.000546086,0.000546086
2,80.3645,0.91255,0.65217,1.01759,0.85405,0.84861,0.89999,0.63726,0.88156,0.64395,1.00876,0.000992679,0.000992679,0.000992679
3,104.583,0.88223,0.60964,1.00616,0.86313,0.87711,0.91703,0.66073,0.85341,0.60448,0.99712,0.00132925,0.00132925,0.00132925
4,128.681,0.83263,0.57186,0.98665,0.87106,0.87959,0.91632,0.6863,0.76783,0.55096,0.96005,0.0011719,0.0011719,0.0011719
5,152.771,0.80354,0.53953,0.97696,0.88126,0.89078,0.93143,0.70225,0.76539,0.52368,0.95937,0.00100687,0.00100687,0.00100687
6,176.566,0.7581,0.51269,0.95979,0.89924,0.89272,0.93641,0.71916,0.71686,0.4775,0.93947,0.000841835,0.000841835,0.000841835
7,199.674,0.72821,0.48637,0.94219,0.89441,0.9101,0.94494,0.73783,0.69605,0.4631,0.93459,0.000676802,0.000676802,0.000676802
8,223.407,0.69383,0.4624,0.93529,0.90543,0.9207,0.95252,0.7626,0.64667,0.42317,0.92307,0.000511769,0.000511769,0.000511769
9,247.317,0.67316,0.44542,0.9246,0.9048,0.92895,0.95434,0.77566,0.6251,0.40989,0.91133,0.000346736,0.000346736,0.000346736
10,271.298,0.65124,0.43271,0.91733,0.90045,0.93459,0.9574,0.78577,0.59866,0.39895,0.90364,0.000181703,0.000181703,0.000181703
